Program,Branch,Specialization,Semester,Count
B.VOC.,"BANKING AND FINANCE",NONE,SM3,42
B.VOC.,"ACCOUNTING AND TAXATION",NONE,SM3,40
B.VOC.,"DIGITAL MANUFACTURING",NONE,SM3,8
B.VOC.,"TOURISM AND HOSPITALITY MANAGEMENT",NONE,SM3,40
B.VOC.,"AI & ROBOTICS",NONE,SM3,46
B.VOC.,TELEMATICS,NONE,SM3,20
B.VOC.,"INTERNET OF THINGS",NONE,SM5,38
B.VOC.,TELECOMMUNICATION,NONE,SM3,22
B.VOC.,"ACCOUNTING AND TAXATION",NONE,SM5,48
B.VOC.,"BANKING AND FINANCE",NONE,SM5,46
B.VOC.,"AI & ROBOTICS",NONE,SM5,47
B.VOC.,TELEMATICS,NONE,SM5,16
B.VOC.,"TOURISM AND HOSPITALITY MANAGEMENT",NONE,SM5,32
B.VOC.,"DIGITAL MANUFACTURING",NONE,SM5,25
B.VOC.,"MANAGEMENT & MANUFACTURE OF AYURVEDIC DRUGS",NONE,SM3,4
B.VOC.,"MANAGEMENT & MANUFACTURE OF AYURVEDIC DRUGS",NONE,SM5,6
B.VOC.,"MANAGEMENT & MANUFACTURE OF HOMEOPATHIC DRUGS",NONE,SM5,12
B.VOC.,"MANAGEMENT & MANUFACTURE OF HOMEOPATHIC DRUGS",NONE,SM3,4
B.VOC.,TELECOMMUNICATION,NONE,SM5,20
"INTEGRATED DUAL DIPLOMA-DEGREE VOC. DIP. IN I.T. & B.SC. COMPUTER SCIENCE",NONE,NONE,SM4,9
"INTEGRATED DUAL DIPLOMA-DEGREE VOC. DIP. IN I.T. & B.SC. COMPUTER SCIENCE",NONE,NONE,SM7,12
B.ARCH.,NONE,NONE,SM3,24
B.ARCH.,NONE,NONE,SM5,33
B.ARCH.,NONE,NONE,SM7,11
B.ARCH.,NONE,NONE,SM9,15
"B.TECH. IN FOOTWEAR TECHNOLOGY (FOOTWEAR DESIGN) INTEGRATED WITH B.B.A.",NONE,NONE,SM7,13
B.F.A.,"APPLIED ART",NONE,SM3,23
B.F.A.,PAINTING,NONE,SM3,15
B.F.A.,SCULPTURE,NONE,SM3,2
B.F.A.,"APPLIED ART",NONE,SM5,24
B.F.A.,PAINTING,NONE,SM5,9
B.F.A.,SCULPTURE,NONE,SM5,5
B.F.A.,"APPLIED ART",NONE,SM7,16
B.F.A.,PAINTING,NONE,SM7,10
"M.TECH. -INTEGRATED","ENGINEERING SYSTEMS","COMPUTER SCIENCE",SM2,2
"DIPLOMA IN ELEMENTARY EDUCATION",NONE,NONE,SM3,64
"B.COM. (CORPORATE ACCOUNTING & LAW)",NONE,NONE,SM3,25
"PH.D. COURSE-WORK","DRAWING & PAINTING",NONE,SM2,1
"PH.D. COURSE-WORK",ECONOMICS,NONE,SM2,1
"PH.D. COURSE-WORK",ENGLISH,NONE,SM2,1
"PH.D. COURSE-WORK",HINDI,NONE,SM2,1
"PH.D. COURSE-WORK","HOME SCIENCE",NONE,SM2,2
"PH.D. COURSE-WORK",MATHEMATICS,NONE,SM2,2
"PH.D. COURSE-WORK",MANAGEMENT,NONE,SM2,5
"PH.D. COURSE-WORK",MUSIC,NONE,SM2,3
"PH.D. COURSE-WORK","POLITICAL SCIENCE",NONE,SM2,3
"PH.D. COURSE-WORK",PSYCHOLOGY,NONE,SM2,1
"PH.D. COURSE-WORK",SOCIOLOGY,NONE,SM2,5
